Date,station,SMS-2.0in,SMS-4.0in,SMS-8.0in,SMS-20.0in,SMS-40.0in
2002-04-24,2057:AL:SCAN,14.7,12.7,16.6,33.8,35.1
2002-04-25,2057:AL:SCAN,14.5,11.8,16.0,,34.9
2002-04-26,2057:AL:SCAN,13.5,11.6,15.4,34.4,34.9
2002-04-27,2057:AL:SCAN,13.2,11.5,15.5,33.8,34.9
2002-04-28,2057:AL:SCAN,13.5,11.5,15.0,32.5,34.6
2002-04-29,2057:AL:SCAN,13.3,11.4,14.6,32.3,34.6
2002-04-30,2057:AL:SCAN,12.9,11.1,14.0,32.4,34.6
2002-05-01,2057:AL:SCAN,19.8,11.7,14.0,31.9,34.4
2002-05-02,2057:AL:SCAN,19.0,12.9,14.3,31.7,34.4
2002-05-03,2057:AL:SCAN,21.9,20.4,17.8,31.6,34.3
2002-05-04,2057:AL:SCAN,31.8,28.9,23.8,35.3,37.8
2002-05-05,2057:AL:SCAN,27.4,24.8,20.2,35.2,38.3
2002-05-06,2057:AL:SCAN,25.6,23.5,19.5,34.4,38.3
2002-05-07,2057:AL:SCAN,25.0,22.9,19.2,34.3,38.1
2002-05-08,2057:AL:SCAN,23.3,21.6,18.8,34.3,38.0
2002-05-09,2057:AL:SCAN,21.6,20.3,18.2,34.0,38.0
2002-05-10,2057:AL:SCAN,22.8,20.3,18.0,33.8,38.0
2002-05-11,2057:AL:SCAN,27.5,24.5,20.1,34.0,37.8
2002-05-12,2057:AL:SCAN,25.5,23.2,19.3,34.0,37.6
2002-05-13,2057:AL:SCAN,23.3,22.2,18.9,34.0,37.8
2002-05-14,2057:AL:SCAN,22.5,21.5,18.5,34.0,37.9
2002-05-15,2057:AL:SCAN,20.9,20.5,18.1,34.4,37.6
2002-05-16,2057:AL:SCAN,19.3,19.7,17.7,33.6,37.6
2002-05-17,2057:AL:SCAN,17.5,18.3,17.2,33.5,37.3
2002-05-18,2057:AL:SCAN,30.6,28.0,21.9,33.2,37.1
2002-05-19,2057:AL:SCAN,26.8,24.7,19.8,33.9,37.1
2002-05-20,2057:AL:SCAN,24.3,23.3,19.1,34.1,37.1
2002-05-21,2057:AL:SCAN,22.3,22.3,18.6,34.2,37.0
2002-05-22,2057:AL:SCAN,21.1,21.6,18.4,34.2,36.9
2002-05-23,2057:AL:SCAN,20.8,21.0,18.1,33.6,36.1
2002-05-24,2057:AL:SCAN,20.3,20.4,17.9,33.7,36.0
2002-05-25,2057:AL:SCAN,19.2,19.8,17.5,33.7,35.9
2002-05-26,2057:AL:SCAN,18.7,18.9,17.5,33.5,36.0
2002-05-27,2057:AL:SCAN,18.2,18.3,17.1,33.3,35.7
2002-05-28,2057:AL:SCAN,18.0,17.9,17.0,33.2,35.7
2002-05-29,2057:AL:SCAN,17.4,17.3,16.7,33.2,35.7
2002-05-30,2057:AL:SCAN,17.0,16.8,16.4,33.1,35.6
2002-05-31,2057:AL:SCAN,16.9,16.4,16.4,32.8,35.6
2002-06-01,2057:AL:SCAN,16.6,16.0,16.2,32.8,35.6
2002-06-02,2057:AL:SCAN,15.6,15.1,15.9,32.3,35.6
2002-06-03,2057:AL:SCAN,14.6,14.2,15.6,32.2,35.4
2002-06-04,2057:AL:SCAN,13.7,13.4,15.1,31.9,35.3
2002-06-05,2057:AL:SCAN,12.8,12.7,14.9,31.2,35.3
2002-06-06,2057:AL:SCAN,12.3,12.3,14.4,30.8,35.2
2002-06-07,2057:AL:SCAN,11.7,11.9,14.0,30.1,34.8
2002-06-08,2057:AL:SCAN,11.4,11.3,13.9,29.6,34.8
2002-06-09,2057:AL:SCAN,10.8,10.9,13.4,28.9,34.7
2002-06-10,2057:AL:SCAN,10.0,10.4,12.8,27.8,34.5
2002-06-11,2057:AL:SCAN,9.7,10.2,12.3,27.2,34.5
2002-06-12,2057:AL:SCAN,9.0,9.8,11.9,26.1,34.3
2002-06-13,2057:AL:SCAN,8.8,9.5,11.6,25.1,34.1
2002-06-14,2057:AL:SCAN,20.0,20.5,11.4,25.1,34.1
2002-06-15,2057:AL:SCAN,21.3,19.5,11.8,25.0,34.1
2002-06-16,2057:AL:SCAN,18.6,17.0,12.1,24.9,34.1
2002-06-17,2057:AL:SCAN,17.2,15.5,12.0,24.9,33.9
2002-06-18,2057:AL:SCAN,15.5,13.1,12.1,24.8,33.8
2002-06-19,2057:AL:SCAN,13.3,11.6,11.8,24.7,33.7
2002-06-20,2057:AL:SCAN,11.8,10.6,11.5,24.2,33.3
2002-06-21,2057:AL:SCAN,10.5,10.1,11.1,23.5,32.8
2002-06-22,2057:AL:SCAN,10.0,9.9,10.9,23.1,32.6
2002-06-23,2057:AL:SCAN,9.3,9.5,10.7,22.0,32.0
2002-06-24,2057:AL:SCAN,8.9,9.4,10.5,22.2,31.6
2002-06-25,2057:AL:SCAN,8.5,9.3,10.2,21.7,30.9
2002-06-26,2057:AL:SCAN,8.7,9.0,10.1,21.5,31.1
2002-06-27,2057:AL:SCAN,8.8,9.2,9.8,21.4,30.9
2002-06-28,2057:AL:SCAN,8.9,9.0,9.6,21.2,30.8
2002-06-29,2057:AL:SCAN,8.8,9.2,9.9,21.4,30.5
2002-06-30,2057:AL:SCAN,9.0,9.3,9.6,21.4,30.3
2002-07-01,2057:AL:SCAN,15.8,16.0,9.5,21.4,30.3
2002-07-02,2057:AL:SCAN,16.2,14.4,10.1,21.8,30.5
2002-07-03,2057:AL:SCAN,14.2,12.3,10.0,21.4,30.3
2002-07-04,2057:AL:SCAN,13.9,11.5,10.0,21.5,30.5
2002-07-05,2057:AL:SCAN,13.3,10.9,10.1,21.2,30.3
2002-07-06,2057:AL:SCAN,11.5,10.1,10.0,21.5,30.1
2002-07-07,2057:AL:SCAN,9.8,9.7,9.8,21.3,29.4
2002-07-08,2057:AL:SCAN,9.1,9.3,9.7,21.1,28.5
2002-07-09,2057:AL:SCAN,8.7,8.8,9.6,20.3,28.0
2002-07-10,2057:AL:SCAN,8.2,8.7,9.3,20.3,27.6
2002-07-11,2057:AL:SCAN,23.4,23.2,15.8,20.0,27.5
2002-07-12,2057:AL:SCAN,19.8,18.3,15.3,20.1,27.8
2002-07-13,2057:AL:SCAN,19.8,16.2,14.3,19.9,28.0
2002-07-14,2057:AL:SCAN,29.6,26.4,20.4,19.9,28.1
2002-07-15,2057:AL:SCAN,24.8,21.8,17.1,20.2,28.5
2002-07-16,2057:AL:SCAN,22.1,20.0,16.3,20.0,28.6
2002-07-17,2057:AL:SCAN,19.5,17.7,15.4,20.3,28.6
2002-07-18,2057:AL:SCAN,17.0,15.7,14.8,20.5,28.6
2002-07-19,2057:AL:SCAN,14.4,13.9,13.9,20.3,28.8
2002-07-20,2057:AL:SCAN,13.4,12.6,13.5,20.8,29.0
2002-07-21,2057:AL:SCAN,12.0,11.6,12.8,20.6,28.7
2002-07-22,2057:AL:SCAN,11.1,10.8,11.7,20.8,28.9
2002-07-23,2057:AL:SCAN,10.6,10.4,11.2,20.8,28.8
2002-07-24,2057:AL:SCAN,10.3,9.9,10.7,20.4,28.5
2002-07-25,2057:AL:SCAN,10.5,10.1,10.9,20.6,28.5
2002-07-26,2057:AL:SCAN,10.4,9.9,10.7,20.7,28.8
2002-07-27,2057:AL:SCAN,10.4,9.9,10.5,20.3,28.5
2002-07-28,2057:AL:SCAN,10.0,9.7,10.0,20.2,28.3
2002-07-29,2057:AL:SCAN,9.4,9.1,9.5,20.2,28.1
2002-07-30,2057:AL:SCAN,12.3,9.2,9.3,20.2,27.9
2002-07-31,2057:AL:SCAN,12.5,9.7,9.5,19.9,27.9
2002-08-01,2057:AL:SCAN,12.0,9.8,9.5,20.1,28.1
2002-08-02,2057:AL:SCAN,11.2,9.6,9.6,20.3,28.2
2002-08-03,2057:AL:SCAN,10.5,9.6,9.5,20.2,28.0
2002-08-04,2057:AL:SCAN,9.9,9.4,9.3,20.3,27.9
2002-08-05,2057:AL:SCAN,9.5,9.2,9.5,20.6,28.2
2002-08-06,2057:AL:SCAN,9.1,9.0,9.3,20.0,27.7
2002-08-07,2057:AL:SCAN,8.8,8.8,9.0,20.0,27.7
2002-08-08,2057:AL:SCAN,8.3,8.8,8.9,20.2,27.6
2002-08-09,2057:AL:SCAN,7.8,8.7,8.9,19.7,27.1
2002-08-10,2057:AL:SCAN,7.8,8.4,8.8,19.8,27.2
2002-08-11,2057:AL:SCAN,7.6,8.3,8.8,19.6,27.1
2002-08-12,2057:AL:SCAN,7.3,8.2,8.5,19.6,27.1
2002-08-13,2057:AL:SCAN,7.2,8.1,8.7,19.6,26.8
2002-08-14,2057:AL:SCAN,7.2,8.1,8.5,19.3,26.6
2002-08-15,2057:AL:SCAN,8.7,8.2,8.6,19.3,26.9
2002-08-16,2057:AL:SCAN,8.9,8.1,8.5,19.3,27.2
2002-08-17,2057:AL:SCAN,9.0,8.2,8.6,19.4,26.8
2002-08-18,2057:AL:SCAN,24.8,22.0,21.4,29.1,26.9
2002-08-19,2057:AL:SCAN,23.8,21.0,19.2,27.2,27.0
2002-08-20,2057:AL:SCAN,21.4,19.3,17.8,25.8,27.2
2002-08-21,2057:AL:SCAN,19.3,17.6,16.8,24.8,27.2
2002-08-22,2057:AL:SCAN,17.4,16.0,15.9,24.4,27.3
2002-08-23,2057:AL:SCAN,15.5,14.5,15.1,24.3,27.4
2002-08-24,2057:AL:SCAN,13.7,13.2,14.0,23.4,27.5
2002-08-25,2057:AL:SCAN,12.5,12.2,13.3,22.9,27.8
2002-08-26,2057:AL:SCAN,12.0,11.7,12.5,22.9,27.7
2002-08-27,2057:AL:SCAN,11.7,11.3,12.1,22.6,27.8
2002-08-28,2057:AL:SCAN,11.3,10.9,11.8,22.4,27.8
2002-08-29,2057:AL:SCAN,10.9,10.5,11.2,21.9,27.8
2002-08-30,2057:AL:SCAN,10.8,10.4,10.7,21.9,27.5
2002-08-31,2057:AL:SCAN,10.4,10.2,10.4,20.8,27.8
2002-09-01,2057:AL:SCAN,10.1,9.6,10.0,20.8,27.6
2002-09-02,2057:AL:SCAN,9.5,9.3,9.6,20.6,27.3
2002-09-03,2057:AL:SCAN,9.3,9.2,9.3,20.0,27.3
2002-09-04,2057:AL:SCAN,8.9,8.9,9.1,20.2,27.0
2002-09-05,2057:AL:SCAN,8.8,8.9,8.8,19.5,27.2
2002-09-06,2057:AL:SCAN,8.4,8.5,8.4,19.5,26.6
2002-09-07,2057:AL:SCAN,8.2,8.5,8.6,19.3,26.6
2002-09-08,2057:AL:SCAN,8.0,8.3,8.3,19.5,26.7
2002-09-09,2057:AL:SCAN,7.7,8.2,8.1,18.6,26.4
2002-09-10,2057:AL:SCAN,7.4,7.9,7.9,19.2,26.1
2002-09-11,2057:AL:SCAN,7.3,8.0,8.0,18.9,26.2
2002-09-12,2057:AL:SCAN,7.3,7.8,7.9,18.7,25.8
2002-09-13,2057:AL:SCAN,7.1,7.8,7.9,18.5,25.6
2002-09-14,2057:AL:SCAN,7.1,7.6,7.9,18.3,25.5
2002-09-15,2057:AL:SCAN,7.1,7.7,7.7,18.4,25.5
2002-09-16,2057:AL:SCAN,7.0,7.5,7.7,18.5,25.5
2002-09-17,2057:AL:SCAN,10.9,7.6,7.6,18.2,25.4
2002-09-18,2057:AL:SCAN,14.9,9.0,7.8,18.3,25.6
2002-09-19,2057:AL:SCAN,24.8,22.5,18.2,18.5,25.6
2002-09-20,2057:AL:SCAN,22.4,19.8,16.4,18.4,25.9
2002-09-21,2057:AL:SCAN,29.4,26.7,20.9,18.4,25.7
2002-09-22,2057:AL:SCAN,25.3,22.5,18.1,18.3,25.6
2002-09-23,2057:AL:SCAN,27.3,24.5,20.5,18.5,25.9
2002-09-24,2057:AL:SCAN,24.5,22.3,18.9,20.1,25.9
2002-09-25,2057:AL:SCAN,23.1,21.1,17.9,21.0,26.0
2002-09-26,2057:AL:SCAN,30.6,27.7,23.7,34.2,26.0
2002-09-27,2057:AL:SCAN,30.1,27.1,23.4,34.6,39.3
2002-09-28,2057:AL:SCAN,27.3,24.4,20.9,33.4,40.0
2002-09-29,2057:AL:SCAN,25.3,22.9,20.1,32.6,39.6
2002-09-30,2057:AL:SCAN,23.8,22.0,19.5,32.1,39.0
2002-10-02,2057:AL:SCAN,23.3,21.2,18.8,31.4,38.0
2002-10-03,2057:AL:SCAN,22.1,20.4,18.4,31.1,37.7
2002-10-04,2057:AL:SCAN,20.9,19.7,18.1,30.9,37.3
2002-10-05,2057:AL:SCAN,27.0,24.5,20.8,31.1,37.1
2002-10-06,2057:AL:SCAN,25.3,23.0,20.0,31.5,37.3
2002-10-07,2057:AL:SCAN,24.4,22.2,19.3,31.4,37.3
2002-10-08,2057:AL:SCAN,25.1,22.0,19.0,31.3,37.4
2002-10-09,2057:AL:SCAN,24.1,21.6,18.7,31.1,37.4
2002-10-10,2057:AL:SCAN,23.8,21.1,18.4,31.2,37.3
2002-10-11,2057:AL:SCAN,26.7,21.5,18.4,31.1,37.0
2002-10-12,2057:AL:SCAN,26.3,22.4,18.8,31.0,37.0
2002-10-13,2057:AL:SCAN,26.0,22.2,18.8,30.7,37.0
2002-10-14,2057:AL:SCAN,25.4,21.7,18.7,30.9,37.0
2002-10-15,2057:AL:SCAN,24.6,21.2,18.3,30.6,37.1
2002-10-16,2057:AL:SCAN,30.8,26.3,21.5,30.6,36.9
2002-10-17,2057:AL:SCAN,27.8,23.9,20.4,32.2,37.0
2002-10-18,2057:AL:SCAN,26.8,23.0,19.7,32.3,37.1
2002-10-19,2057:AL:SCAN,25.9,22.4,19.3,31.8,37.4
2002-10-20,2057:AL:SCAN,25.5,21.9,19.0,31.6,37.5
2002-10-21,2057:AL:SCAN,25.2,21.9,18.9,31.3,37.6
2002-10-22,2057:AL:SCAN,26.2,22.2,18.8,31.4,37.4
2002-10-23,2057:AL:SCAN,25.5,21.9,18.6,31.0,37.4
2002-10-24,2057:AL:SCAN,25.1,21.6,18.3,30.9,37.4
2002-10-25,2057:AL:SCAN,24.8,21.4,18.5,30.8,37.1
2002-10-26,2057:AL:SCAN,24.5,21.2,18.2,30.7,37.1
2002-10-27,2057:AL:SCAN,24.4,21.1,18.2,30.6,37.1
2002-10-28,2057:AL:SCAN,24.1,20.9,18.0,30.6,37.1
2002-10-29,2057:AL:SCAN,29.6,25.1,21.2,33.6,40.6
2002-10-30,2057:AL:SCAN,29.3,24.6,21.0,33.2,40.4
2002-10-31,2057:AL:SCAN,28.0,23.6,20.4,32.8,40.0
2002-11-01,2057:AL:SCAN,27.6,23.2,19.8,32.2,39.5
2002-11-02,2057:AL:SCAN,26.9,22.8,19.6,32.6,39.3
2002-11-03,2057:AL:SCAN,26.6,22.4,19.3,31.8,39.1
2002-11-04,2057:AL:SCAN,31.4,26.1,21.8,32.1,39.0
2002-11-05,2057:AL:SCAN,29.4,24.6,20.8,33.2,40.3
2002-11-06,2057:AL:SCAN,31.3,26.0,21.8,34.1,42.0
2002-11-07,2057:AL:SCAN,29.5,24.6,20.8,33.4,40.5
2002-11-08,2057:AL:SCAN,28.5,24.0,20.1,33.0,39.8
2002-11-09,2057:AL:SCAN,28.0,23.5,19.8,32.2,39.6
2002-11-10,2057:AL:SCAN,27.7,23.1,19.8,32.0,39.1
2002-11-11,2057:AL:SCAN,35.0,29.8,23.9,31.8,38.7
2002-11-12,2057:AL:SCAN,29.9,24.9,20.9,33.3,40.8
2002-11-13,2057:AL:SCAN,29.0,24.0,20.3,32.9,40.1
2002-11-14,2057:AL:SCAN,28.5,23.5,19.9,32.8,39.6
2002-11-15,2057:AL:SCAN,28.2,23.2,19.5,32.0,39.2
2002-11-16,2057:AL:SCAN,31.4,25.9,21.7,34.2,41.4
2002-11-17,2057:AL:SCAN,29.7,24.4,20.5,33.1,40.4
2002-11-18,2057:AL:SCAN,28.8,23.9,20.1,33.2,39.7
2002-11-19,2057:AL:SCAN,28.7,23.5,19.9,32.2,39.5
2002-11-20,2057:AL:SCAN,30.0,24.8,20.5,32.5,39.2
2002-11-21,2057:AL:SCAN,29.5,24.3,20.3,32.4,39.2
2002-11-22,2057:AL:SCAN,28.9,23.8,20.0,32.4,39.2
2002-11-23,2057:AL:SCAN,28.1,23.1,19.6,32.9,39.1
2002-11-24,2057:AL:SCAN,27.8,22.9,19.4,32.3,38.9
2002-11-25,2057:AL:SCAN,27.7,22.6,19.3,32.0,39.0
2002-11-26,2057:AL:SCAN,27.6,22.6,19.0,31.6,38.8
2002-11-27,2057:AL:SCAN,29.2,23.5,19.1,31.4,38.6
2002-11-28,2057:AL:SCAN,28.2,22.9,19.1,31.6,38.5
2002-11-29,2057:AL:SCAN,27.8,22.7,18.9,31.9,38.6
2002-11-30,2057:AL:SCAN,27.6,22.6,18.8,31.2,38.6
2002-12-01,2057:AL:SCAN,27.2,22.2,18.8,31.6,38.3
2002-12-02,2057:AL:SCAN,26.9,22.0,18.6,31.4,38.1
2002-12-03,2057:AL:SCAN,26.8,21.9,18.5,31.2,38.0
2002-12-04,2057:AL:SCAN,26.7,21.8,18.4,31.0,37.9
2002-12-05,2057:AL:SCAN,34.6,29.4,24.3,34.9,41.2
2002-12-06,2057:AL:SCAN,30.1,24.9,20.6,33.1,40.6
2002-12-07,2057:AL:SCAN,29.0,24.1,20.1,32.9,39.3
2002-12-08,2057:AL:SCAN,28.5,23.7,19.7,32.3,39.2
2002-12-09,2057:AL:SCAN,28.5,23.6,19.6,32.0,38.5
2002-12-10,2057:AL:SCAN,28.3,23.4,19.3,31.8,38.3
2002-12-11,2057:AL:SCAN,32.7,27.1,22.2,33.9,41.1
2002-12-12,2057:AL:SCAN,30.3,25.1,20.7,32.8,40.0
2002-12-13,2057:AL:SCAN,29.4,24.3,20.3,32.2,39.3
2002-12-14,2057:AL:SCAN,31.4,25.9,21.7,33.6,40.9
2002-12-15,2057:AL:SCAN,29.8,24.7,20.5,33.0,39.6
2002-12-16,2057:AL:SCAN,29.3,24.2,20.1,32.3,39.0
2002-12-17,2057:AL:SCAN,29.2,23.9,19.9,31.8,38.8
2002-12-18,2057:AL:SCAN,29.0,23.8,19.8,31.9,38.6
2002-12-19,2057:AL:SCAN,28.6,23.5,19.8,31.9,38.5
2002-12-20,2057:AL:SCAN,31.9,26.8,22.5,33.2,38.4
2002-12-21,2057:AL:SCAN,29.6,24.7,20.7,33.1,39.8
2002-12-22,2057:AL:SCAN,29.1,24.1,20.1,32.3,39.1
2002-12-23,2057:AL:SCAN,28.6,23.6,19.9,32.3,39.0
2002-12-24,2057:AL:SCAN,33.0,28.1,19.8,31.9,38.5
2002-12-25,2057:AL:SCAN,31.6,26.0,21.3,33.1,40.3
2002-12-26,2057:AL:SCAN,29.7,24.6,20.6,32.8,39.4
2002-12-27,2057:AL:SCAN,29.0,24.1,20.0,32.6,38.9
2002-12-28,2057:AL:SCAN,28.7,23.7,19.9,32.0,38.6
2002-12-29,2057:AL:SCAN,28.5,23.4,19.5,31.6,38.4
2002-12-30,2057:AL:SCAN,28.2,23.3,19.5,31.5,38.1
2002-12-31,2057:AL:SCAN,28.2,23.2,19.5,31.5,38.0
2003-01-01,2057:AL:SCAN,32.1,27.8,22.5,31.5,38.2
2003-01-02,2057:AL:SCAN,30.6,25.3,21.2,33.0,39.6
2003-01-03,2057:AL:SCAN,31.7,26.3,21.4,32.8,39.2
2003-01-04,2057:AL:SCAN,29.8,24.9,20.7,32.7,39.5
2003-01-05,2057:AL:SCAN,29.2,24.3,20.3,32.3,39.0
2003-01-06,2057:AL:SCAN,28.8,24.0,20.0,32.1,38.6
2003-01-07,2057:AL:SCAN,28.4,23.5,19.7,32.0,38.1
2003-01-08,2057:AL:SCAN,28.0,23.2,19.4,31.8,38.0
2003-01-09,2057:AL:SCAN,27.9,23.1,19.3,31.5,37.9
2003-01-10,2057:AL:SCAN,33.2,28.3,23.1,31.4,37.9
2003-01-11,2057:AL:SCAN,29.9,24.9,20.8,33.2,39.1
2003-01-12,2057:AL:SCAN,28.9,24.2,20.2,32.6,38.8
2003-01-13,2057:AL:SCAN,28.2,23.5,19.7,32.2,38.5
2003-01-14,2057:AL:SCAN,28.2,23.5,19.5,31.8,38.2
2003-01-15,2057:AL:SCAN,27.9,23.2,19.5,31.6,38.1
2003-01-16,2057:AL:SCAN,27.6,22.9,19.2,31.4,37.9
2003-01-17,2057:AL:SCAN,30.9,25.3,19.7,31.3,37.6
2003-01-18,2057:AL:SCAN,28.4,24.2,19.8,31.6,37.5
2003-01-19,2057:AL:SCAN,27.2,22.8,19.4,31.4,37.5
2003-01-20,2057:AL:SCAN,27.5,22.5,19.2,31.3,37.3
2003-01-21,2057:AL:SCAN,29.2,23.3,19.1,30.9,37.5
2003-01-22,2057:AL:SCAN,30.8,25.1,20.0,31.2,37.2
2003-01-23,2057:AL:SCAN,29.0,24.1,20.0,31.6,37.2
2003-01-24,2057:AL:SCAN,27.9,23.6,19.7,31.7,37.5
2003-01-25,2057:AL:SCAN,26.4,22.5,19.3,31.5,37.4
2003-01-26,2057:AL:SCAN,27.6,22.3,19.0,31.0,37.4
2003-01-27,2057:AL:SCAN,28.6,23.0,19.1,31.2,37.4
2003-01-28,2057:AL:SCAN,27.2,22.6,19.0,30.9,37.2
2003-01-29,2057:AL:SCAN,27.9,22.6,19.0,30.9,37.2
2003-01-30,2057:AL:SCAN,31.8,26.1,21.8,33.4,40.3
2003-01-31,2057:AL:SCAN,30.2,24.8,20.7,32.4,39.3
2003-02-01,2057:AL:SCAN,29.6,24.4,20.3,32.1,38.6
2003-02-02,2057:AL:SCAN,29.0,24.0,20.1,31.9,38.4
2003-02-03,2057:AL:SCAN,28.7,23.6,20.0,31.7,38.2
2003-02-04,2057:AL:SCAN,34.5,28.8,21.1,31.7,38.1
2003-02-05,2057:AL:SCAN,30.2,25.0,21.1,32.9,39.2
2003-02-06,2057:AL:SCAN,29.2,24.2,20.5,32.4,38.9
2003-02-07,2057:AL:SCAN,33.9,28.0,23.2,34.0,39.0
2003-02-08,2057:AL:SCAN,30.4,25.0,20.9,32.8,39.6
2003-02-09,2057:AL:SCAN,29.4,24.2,20.2,32.4,38.8
2003-02-10,2057:AL:SCAN,32.6,25.4,20.2,32.1,38.1
2003-02-11,2057:AL:SCAN,30.7,25.3,21.1,32.8,38.4
2003-02-12,2057:AL:SCAN,29.7,24.5,20.6,32.4,38.9
2003-02-13,2057:AL:SCAN,28.9,24.0,20.2,32.0,38.3
2003-02-14,2057:AL:SCAN,28.5,23.6,20.0,31.7,38.0
2003-02-15,2057:AL:SCAN,34.2,28.5,23.5,34.4,41.0
2003-02-16,2057:AL:SCAN,36.3,31.2,25.9,37.0,41.8
2003-02-17,2057:AL:SCAN,32.2,26.6,21.9,33.5,40.1
2003-02-18,2057:AL:SCAN,31.1,25.5,21.1,32.7,39.3
2003-02-19,2057:AL:SCAN,30.3,25.0,20.6,32.4,38.8
2003-02-20,2057:AL:SCAN,29.9,24.7,20.6,32.2,38.4
2003-02-21,2057:AL:SCAN,31.5,25.5,20.7,32.0,38.2
2003-02-22,2057:AL:SCAN,37.2,32.5,27.0,37.7,41.0
2003-02-23,2057:AL:SCAN,34.6,29.1,23.6,34.6,42.3
2003-02-24,2057:AL:SCAN,31.9,26.7,21.9,33.1,40.8
2003-02-25,2057:AL:SCAN,30.5,25.7,21.3,32.8,39.8
2003-02-26,2057:AL:SCAN,30.0,25.1,20.7,32.3,39.4
2003-02-27,2057:AL:SCAN,33.4,28.3,23.0,34.2,41.7
2003-02-28,2057:AL:SCAN,32.6,27.5,22.4,33.6,41.1
2003-03-01,2057:AL:SCAN,31.5,26.3,21.6,32.7,40.1
2003-03-02,2057:AL:SCAN,30.9,25.8,21.3,32.4,39.7
2003-03-03,2057:AL:SCAN,30.3,25.3,21.0,32.5,39.3
2003-03-04,2057:AL:SCAN,29.6,24.9,20.8,32.1,38.8
2003-03-05,2057:AL:SCAN,29.2,24.5,20.7,31.9,39.0
2003-03-06,2057:AL:SCAN,31.9,28.0,20.9,32.0,38.6
2003-03-07,2057:AL:SCAN,31.4,26.8,22.1,33.6,40.4
2003-03-08,2057:AL:SCAN,30.1,25.7,21.5,32.7,40.3
2003-03-09,2057:AL:SCAN,29.4,25.0,21.2,32.3,39.7
2003-03-10,2057:AL:SCAN,28.4,24.2,20.6,32.4,39.5
2003-03-11,2057:AL:SCAN,27.1,23.5,20.3,32.0,39.2
2003-03-12,2057:AL:SCAN,26.6,23.0,20.0,32.0,38.8
2003-03-13,2057:AL:SCAN,26.2,22.5,19.7,31.6,38.8
2003-03-14,2057:AL:SCAN,27.0,22.4,19.4,31.7,38.7
2003-03-15,2057:AL:SCAN,27.3,22.5,19.1,31.5,38.5
2003-03-16,2057:AL:SCAN,27.2,22.6,18.9,31.1,38.7
2003-03-17,2057:AL:SCAN,26.6,22.3,19.0,31.2,38.7
2003-03-18,2057:AL:SCAN,32.7,27.8,18.8,31.4,38.5
2003-03-19,2057:AL:SCAN,31.0,26.4,20.6,31.4,38.5
2003-03-20,2057:AL:SCAN,31.2,26.8,21.8,33.6,39.0
2003-03-21,2057:AL:SCAN,29.4,25.3,20.7,33.3,40.7
2003-03-22,2057:AL:SCAN,28.4,24.3,20.2,32.8,40.1
2003-03-23,2057:AL:SCAN,27.5,23.7,19.9,32.4,39.7
2003-03-24,2057:AL:SCAN,26.4,22.8,19.7,32.4,39.6
2003-03-25,2057:AL:SCAN,24.9,21.7,19.1,32.0,39.3
2003-03-26,2057:AL:SCAN,23.5,20.8,18.7,31.7,39.1
2003-03-27,2057:AL:SCAN,23.0,20.2,18.3,31.7,39.0
2003-03-28,2057:AL:SCAN,21.7,19.2,18.0,31.5,38.8
2003-03-29,2057:AL:SCAN,20.5,18.3,17.9,31.3,38.7
2003-03-30,2057:AL:SCAN,26.9,22.3,17.7,31.1,38.7
2003-03-31,2057:AL:SCAN,25.4,21.2,17.8,31.3,38.6
2003-04-01,2057:AL:SCAN,24.3,20.4,17.6,30.7,37.7
2003-04-02,2057:AL:SCAN,22.9,19.5,17.5,30.8,37.5
2003-04-03,2057:AL:SCAN,21.4,18.4,17.4,30.5,37.6
2003-04-04,2057:AL:SCAN,20.0,17.4,17.0,30.7,37.5
2003-04-05,2057:AL:SCAN,19.1,16.3,16.8,30.4,37.3
2003-04-06,2057:AL:SCAN,19.8,16.3,16.5,30.7,37.7
2003-04-07,2057:AL:SCAN,31.6,30.5,25.3,30.8,37.4
2003-04-08,2057:AL:SCAN,28.6,24.6,21.0,32.9,40.5
2003-04-09,2057:AL:SCAN,32.2,27.0,22.4,34.1,42.4
2003-04-10,2057:AL:SCAN,30.8,25.8,21.4,33.6,41.2
2003-04-11,2057:AL:SCAN,31.4,26.1,21.3,33.2,40.8
2003-04-12,2057:AL:SCAN,29.0,24.8,20.8,33.2,40.4
2003-04-13,2057:AL:SCAN,27.0,23.5,20.4,32.8,40.1
2003-04-14,2057:AL:SCAN,25.2,22.0,20.0,32.3,39.8
2003-04-15,2057:AL:SCAN,23.4,20.5,19.5,32.3,39.6
2003-04-16,2057:AL:SCAN,21.5,18.8,19.1,31.9,39.4
2003-04-17,2057:AL:SCAN,19.9,17.1,18.6,31.5,39.1
2003-04-18,2057:AL:SCAN,19.6,16.5,18.4,31.5,38.9
2003-04-19,2057:AL:SCAN,18.8,15.6,18.0,31.0,38.7
2003-04-20,2057:AL:SCAN,17.7,14.5,17.4,30.9,38.0
2003-04-21,2057:AL:SCAN,16.7,13.8,16.9,30.4,37.9
2003-04-22,2057:AL:SCAN,27.8,23.9,20.9,30.8,37.9
2003-04-23,2057:AL:SCAN,25.3,22.0,19.7,30.8,38.2
2003-04-24,2057:AL:SCAN,23.2,20.4,19.0,30.9,38.3
2003-04-25,2057:AL:SCAN,32.5,30.0,24.5,33.2,38.1
2003-04-26,2057:AL:SCAN,30.7,28.1,23.1,34.5,42.5
